Rank,Short Name,Full Name,Power
1,UvvU,veni vidi vici,"6,486,519,556"
2,ORCЕ,Omega Force,"6,387,057,595"
3,NKOT,korea one team,"4,988,473,489"
4,STR8,STR8 SAVAGE,"4,965,796,765"
5,LE4L,Legião del Alba,"4,922,924,438"
6,EPIC,KarmaKings,"4,843,928,579"
7,TASF,Fertile Legio Magna,"4,838,987,781"
8,LoL,LoL Hall Found,"4,387,447,488"
9,HYPH,HY Bois,"3,885,585,382"
10,MMM,UmaMaumultiMundiMundi,"3,733,797,233"
11,N8N8,은하수 길,"3,383,315,387"
12,PAKR,P e A r l s,"2,839,346,363"
13,Null,[Null] WINS,"1,719,583,393"
14,PARUZ,Musako,"1,279,996,791"
15,MJ40,Zveff,"1,163,990,667"
16,DRKK,Kaethog,"1,057,439,699"
17,aLoB,The Lasts,"827,770,885"
18,CCM,United Fight,"597,015,943"
19,MMM,UnityInActionBrothers,"535,975,789"
20,1Brk,고스,"583,730,030"
21,LnfS,LegendofStories,"571,353,840"
22,arfa,Samita Stars,"549,933,537"
23,EMCY,Sons of da,"316,178,509"
24,AVLS,Astrea,"276,459,662"
25,Bnd,BEd,"264,865,948"
26,NRDS,The Nerds,"238,782,181"
27,NzLs,EntireDefined,"188,185,283"
28,NzLs,Nudo de Cove,"192,364,949"
29,NzLs,dinhaline,"139,454,770"
30,LATN,La Última Orden,"125,839,980"
31,LxG4,LaJo,"123,528,932"
32,Lzgs,LaundLine,"101,730,803"
33,NRDS,Nar,"106,785,709"
34,Frc,Faraaaaaaaaaailllllll,"88,786,277"
35,Swrd,NATIONS RSR,"82,660,801"
36,Frk,onakoMoro,"78,865,808"
37,Own,Own,"74,791,443"
38,LAWS,Twelve Jews,"67,803,317"
39,JR19,Wildwood,"66,407,882"
40,MzF,hepaaaaaaaadaFacil,"52,989,671"
41,smd,중국 우 은하,"51,979,412"
42,gd,한국 두루,"49,870,078"
43,Tw,TEMPLAR,"48,829,076"
44,STRS,pitacholol01,"46,055,103"
45,MTF,Donos do gatorro,"47,623,500"
46,BLKH,Blackhole,"46,173,969"
47,JR19,kot XP,"46,173,828"
48,AWRI,Lee Matin Armenia,"43,787,678"
49,Jug,love guard,"42,787,884"
50,AMRI,Armored Cavalry,"51,657,132"
